nc,nd,runmode,nnics,ninst,capture_pkts,drop_pkts,decoder_pkts,decoder_bytes,avg_cpu,max_rss,i,timestamp,trace
1,1,autofp,1,4,568809,0,568808,629148324,138,314684.0,0,1493270694,snort.log
1,1,autofp,1,8,1137618,1842,1135774,1256315469,185,333212.0,0,1493270663,snort.log
1,1,autofp,1,16,2275256,1053590,1221666,1305731757,143,333504.0,0,1493270628,snort.log
1,1,autofp,2,4,1137618,89911,1047707,1150360637,240,384644.0,0,1493307761,snort.log
1,1,autofp,2,8,2275248,1210910,1064338,1074585270,185,382468.0,0,1493307725,snort.log
1,1,workers,1,4,568809,0,568808,629148324,83,315788.0,0,1493305775,snort.log
1,1,workers,1,8,1137617,2337,1133436,1253544538,100,314168.0,0,1493305745,snort.log
1,1,workers,1,16,2275235,1126804,1145498,1180652390,90,314500.0,0,1493305707,snort.log
1,1,workers,2,4,1137616,2129,1133707,1253444332,136,348416.0,0,1493308716,snort.log
1,1,workers,2,8,2275233,911352,1356438,1393445136,142,345880.0,0,1493308684,snort.log
1,2,autofp,1,4,568810,0,568808,629148324,134,318364.0,0,1493270787,snort.log
1,2,autofp,1,8,1137617,0,1137616,1258296648,199,327576.0,0,1493270756,snort.log
1,2,autofp,1,16,2275233,1205568,1069664,1143744534,179,332480.0,0,1493270725,snort.log
1,2,autofp,2,4,1137616,56867,1080749,1190492467,250,381036.0,0,1493307824,snort.log
1,2,autofp,2,8,2275232,1186401,1088831,1101064129,231,381224.0,0,1493307793,snort.log
1,2,workers,1,4,568815,0,568814,629148876,82,317532.0,0,1493305868,snort.log
1,2,workers,1,8,1137620,3985,1133634,1253874600,101,322300.0,0,1493305837,snort.log
1,2,workers,1,16,2275233,1161905,1110090,1142126601,100,316060.0,0,1493305806,snort.log
1,2,workers,2,4,1137616,2142,1135474,1255874546,136,344652.0,0,1493308779,snort.log
1,2,workers,2,8,2275233,928366,1342415,1372531597,143,347568.0,0,1493308747,snort.log
1,4,autofp,1,4,568811,0,568810,629148845,127,319692.0,0,1493270880,snort.log
1,4,autofp,1,8,1137618,0,1137616,1258296648,199,318960.0,0,1493270849,snort.log
1,4,autofp,1,16,2275233,1184381,1090851,1157954509,198,334244.0,0,1493270818,snort.log
1,4,autofp,2,4,1137616,22028,1115588,1232287379,259,383276.0,0,1493307888,snort.log
1,4,autofp,2,8,2275233,1124233,1150999,1179413759,243,383036.0,0,1493307856,snort.log
1,4,workers,1,4,568809,0,568808,629148324,82,312776.0,0,1493305961,snort.log
1,4,workers,1,8,1137626,2871,1134754,1255303708,100,318176.0,0,1493305930,snort.log
1,4,workers,1,16,2275237,1126522,1144082,1175686596,101,312448.0,0,1493305899,snort.log
1,4,workers,2,4,1137617,0,1131258,1251053604,137,347608.0,0,1493308842,snort.log
1,4,workers,2,8,2275232,1041340,1224385,1221301701,144,350428.0,0,1493308811,snort.log
2,1,autofp,1,4,568809,0,568808,629148324,171,332272.0,0,1493270973,snort.log
2,1,autofp,1,8,1137618,433,1137183,1257786283,250,336820.0,0,1493270942,snort.log
2,1,autofp,1,16,2275247,989130,1286116,1320099797,299,333728.0,0,1493270911,snort.log
2,1,autofp,2,4,1137616,85048,1052568,1152754994,495,380980.0,0,1493307951,snort.log
2,1,autofp,2,8,2275232,1203039,1072193,1021879615,498,381948.0,0,1493307919,snort.log
2,1,workers,1,4,568809,0,568808,629148324,88,338376.0,0,1493306054,snort.log
2,1,workers,1,8,1137617,32935,1104681,1216990058,129,333332.0,0,1493306023,snort.log
2,1,workers,1,16,2275236,829781,1443954,1480178609,145,335296.0,0,1493305992,snort.log
2,1,workers,2,4,1137628,204540,920682,986391173,158,395532.0,0,1493308906,snort.log
2,1,workers,2,8,2275233,1126333,1145049,1106674483,172,385004.0,0,1493308874,snort.log
2,2,autofp,1,4,568809,0,568808,629148324,171,334044.0,0,1493271066,snort.log
2,2,autofp,1,8,1137617,4278,1133338,1252932096,236,334448.0,0,1493271035,snort.log
2,2,autofp,1,16,2275233,1153905,1121327,1132179025,297,334120.0,0,1493271004,snort.log
2,2,autofp,2,4,1137634,21866,1115768,1230724562,434,392092.0,0,1493308014,snort.log
2,2,autofp,2,8,2275232,1045768,1229464,1219618026,452,382672.0,0,1493307983,snort.log
2,2,workers,1,4,568811,0,568810,629148845,87,334044.0,0,1493306147,snort.log
2,2,workers,1,8,1137617,35695,1097413,1208869961,125,333808.0,0,1493306116,snort.log
2,2,workers,1,16,2275233,1051098,1224134,1207039353,146,333944.0,0,1493306085,snort.log
2,2,workers,2,4,1137616,219354,906058,967054498,158,387440.0,0,1493308969,snort.log
2,2,workers,2,8,2275233,1141655,1125124,1074790046,175,384668.0,0,1493308937,snort.log
2,4,autofp,1,4,568809,0,568808,629148324,140,338148.0,0,1493271159,snort.log
2,4,autofp,1,8,1137617,58216,1079400,1186608525,257,341276.0,0,1493271128,snort.log
2,4,autofp,1,16,2275233,1011651,1263581,1302429204,300,338780.0,0,1493271097,snort.log
2,4,autofp,2,4,1137616,33014,1104602,1218236481,393,387468.0,0,1493308077,snort.log
2,4,autofp,2,8,2275232,1041480,1233752,1228746647,426,389920.0,0,1493308046,snort.log
2,4,workers,1,4,568821,0,568820,629149928,86,335220.0,0,1493306241,snort.log
2,4,workers,1,8,1137629,29060,1108568,1223580266,128,336312.0,0,1493306210,snort.log
2,4,workers,1,16,2275233,838426,1435550,1469626475,144,335620.0,0,1493306178,snort.log
2,4,workers,2,4,1137616,220264,904881,968000257,158,385924.0,0,1493309032,snort.log
2,4,workers,2,8,2275233,1163712,1105001,1057294633,174,386128.0,0,1493309000,snort.log
2,8,autofp,1,4,568809,0,568808,629148324,154,343236.0,0,1493271252,snort.log
2,8,autofp,1,8,1137636,2972,1134662,1254719355,253,347828.0,0,1493271221,snort.log
2,8,autofp,1,16,2275235,994790,1280444,1323379500,321,344896.0,0,1493271190,snort.log
2,8,workers,1,4,568810,0,568808,629148324,88,331788.0,0,1493306334,snort.log
2,8,workers,1,8,1137618,14082,1123403,1240085460,123,333820.0,0,1493306303,snort.log
2,8,workers,1,16,2275233,821641,1453172,1493451897,144,335644.0,0,1493306272,snort.log
4,1,autofp,1,4,568809,0,568808,629148324,219,370116.0,0,1493271345,snort.log
4,1,autofp,1,8,1137617,57979,1079637,1187000446,500,371084.0,0,1493271314,snort.log
4,1,autofp,1,16,2275233,1191690,1083542,1053849947,500,368352.0,0,1493271283,snort.log
4,1,autofp,2,4,1137616,100422,1037194,1130346932,901,455592.0,0,1493308141,snort.log
4,1,autofp,2,8,2275232,1117395,1157837,1099154512,900,456736.0,0,1493308109,snort.log
4,1,workers,1,4,568809,0,568808,629148324,88,375804.0,0,1493306427,snort.log
4,1,workers,1,8,1137618,225843,907268,964014304,156,371044.0,0,1493306396,snort.log
4,1,workers,1,16,2275233,1158459,1114289,1040907573,173,373428.0,0,1493306365,snort.log
4,1,workers,2,4,1137616,303963,823513,857508328,189,463872.0,0,1493309095,snort.log
4,1,workers,2,8,2275232,1218842,1043040,977890880,207,463192.0,0,1493309064,snort.log
4,2,autofp,1,4,568809,0,568808,629148324,212,382624.0,0,1493271439,snort.log
4,2,autofp,1,8,1137620,0,1137618,1258297192,386,379612.0,0,1493271408,snort.log
4,2,autofp,1,16,2275234,1127550,1147682,1134502393,458,380144.0,0,1493271376,snort.log
4,2,autofp,2,4,1137616,90649,1046967,1144068135,740,459988.0,0,1493308204,snort.log
4,2,autofp,2,8,2275232,1121399,1153833,1103331626,758,461160.0,0,1493308172,snort.log
4,2,workers,1,4,568813,0,568812,629149248,87,374096.0,0,1493306520,snort.log
4,2,workers,1,8,1137625,237295,896425,950955060,158,373548.0,0,1493306489,snort.log
4,2,workers,1,16,2275234,1167270,1107962,1029802370,174,371348.0,0,1493306458,snort.log
4,2,workers,2,4,1137617,305865,818947,852879717,189,462764.0,0,1493309159,snort.log
4,2,workers,2,8,2275232,1191061,1079342,1010082389,206,458748.0,0,1493309127,snort.log
4,4,autofp,1,4,568821,0,568820,629150818,225,378752.0,0,1493271532,snort.log
4,4,autofp,1,8,1137617,73003,1064613,1166777166,379,383504.0,0,1493271501,snort.log
4,4,autofp,1,16,2275233,1008908,1266324,1272535569,435,383196.0,0,1493271470,snort.log
4,4,autofp,2,4,1137616,123896,1013720,1102119728,610,464356.0,0,1493308268,snort.log
4,4,autofp,2,8,2275232,1120224,1155008,1120879610,653,460436.0,0,1493308236,snort.log
4,4,workers,1,4,568809,0,568808,629148324,86,372180.0,0,1493306614,snort.log
4,4,workers,1,8,1137617,245173,887134,938777975,157,371368.0,0,1493306583,snort.log
4,4,workers,1,16,2275244,1097266,1177391,1119108658,173,374164.0,0,1493306551,snort.log
4,4,workers,2,4,1137626,319038,806918,835177513,185,461904.0,0,1493309223,snort.log
4,4,workers,2,8,2275233,1192744,1077636,1010654294,208,461888.0,0,1493309191,snort.log
4,8,autofp,1,4,568810,0,568808,629148324,200,386708.0,0,1493271625,snort.log
4,8,autofp,1,8,1137617,41135,1096481,1208512590,334,384980.0,0,1493271594,snort.log
4,8,autofp,1,16,2275234,1046974,1228260,1246368102,420,383396.0,0,1493271563,snort.log
4,8,autofp,2,4,1137618,77916,1059702,1162676538,489,468436.0,0,1493308331,snort.log
4,8,autofp,2,8,2275242,1082615,1192627,1188072286,564,470896.0,0,1493308300,snort.log
4,8,workers,1,4,568809,0,568808,629148324,90,370724.0,0,1493306707,snort.log
4,8,workers,1,8,1137617,238097,894243,947361397,156,370732.0,0,1493306676,snort.log
4,8,workers,1,16,2275233,1142167,1132267,1053587072,175,374292.0,0,1493306645,snort.log
4,8,workers,2,4,1137616,311178,814499,846403039,183,461588.0,0,1493309287,snort.log
4,8,workers,2,8,2275233,1196653,1078579,1012291613,207,460964.0,0,1493309255,snort.log
4,16,autofp,1,4,568809,0,568808,629148324,192,398756.0,0,1493271718,snort.log
4,16,autofp,1,8,1137617,28919,1108697,1222764774,326,395444.0,0,1493271687,snort.log
4,16,autofp,1,16,2275233,1084472,1190760,1202719073,410,393672.0,0,1493271656,snort.log
4,16,workers,1,4,568824,0,568820,629149984,90,369392.0,0,1493306801,snort.log
4,16,workers,1,8,1137617,226675,910941,966300044,159,377092.0,0,1493306769,snort.log
4,16,workers,1,16,2275233,1096210,1177537,1119228217,170,371492.0,0,1493306738,snort.log
8,1,autofp,1,4,568817,0,568814,629148876,352,449424.0,0,1493271811,snort.log
8,1,autofp,1,8,1137617,35248,1102368,1215245047,891,443368.0,0,1493271780,snort.log
8,1,autofp,1,16,2275233,1141172,1134060,1091907207,900,445116.0,0,1493271749,snort.log
8,1,autofp,2,4,1137616,594830,542786,498857253,1598,600812.0,0,1493308395,snort.log
8,1,autofp,2,8,2275232,1700181,575051,411363857,1598,605480.0,0,1493308363,snort.log
8,1,workers,1,4,568809,0,568808,629148324,91,447680.0,0,1493306895,snort.log
8,1,workers,1,8,1137630,354474,781469,801230679,183,452000.0,0,1493306863,snort.log
8,1,workers,1,16,2275233,1312173,960469,850428260,195,447420.0,0,1493306832,snort.log
8,1,workers,2,4,1137616,316266,810922,839796594,177,616396.0,0,1493314259,snort.log
8,1,workers,2,8,2275232,958161,1311557,1278152605,166,614676.0,0,1493314223,snort.log
8,2,autofp,1,4,568811,0,568810,629148868,314,446112.0,0,1493271905,snort.log
8,2,autofp,1,8,1137617,82412,1055204,1156442702,729,447932.0,0,1493271874,snort.log
8,2,autofp,1,16,2275237,1202571,1072665,1024861861,730,444520.0,0,1493271843,snort.log
8,2,autofp,2,4,1137617,393846,743770,752185875,1270,608020.0,0,1493308460,snort.log
8,2,autofp,2,8,2275232,1470755,804477,670639340,1292,608016.0,0,1493308428,snort.log
8,2,workers,1,4,568810,0,568808,629148324,92,445680.0,0,1493306988,snort.log
8,2,workers,1,8,1137617,352433,783466,803152170,175,446732.0,0,1493306957,snort.log
8,2,workers,1,16,2275236,1313315,959786,840755811,192,446336.0,0,1493306926,snort.log
8,2,workers,2,4,1137616,319165,807867,834981355,181,616656.0,0,1493314323,snort.log
8,2,workers,2,8,2275234,1242168,1026814,938649062,202,609956.0,0,1493314291,snort.log
8,4,autofp,1,4,568809,0,568808,629148324,262,446604.0,0,1493271999,snort.log
8,4,autofp,1,8,1137617,151148,986468,1069777949,585,450248.0,0,1493271968,snort.log
8,4,autofp,1,16,2275233,1183562,1091670,1057197063,630,451520.0,0,1493271936,snort.log
8,4,autofp,2,4,1137616,355320,782296,808266937,1043,617344.0,0,1493308524,snort.log
8,4,autofp,2,8,2275234,1417106,858128,760405286,1042,614128.0,0,1493308492,snort.log
8,4,workers,1,4,568808,0,568808,629148324,92,451680.0,0,1493307082,snort.log
8,4,workers,1,8,1137619,350280,785159,804686526,178,449464.0,0,1493307051,snort.log
8,4,workers,1,16,2275233,1299854,972381,853324519,201,449112.0,0,1493307019,snort.log
8,4,workers,2,4,1137634,321194,805985,833362706,181,615864.0,0,1493314387,snort.log
8,4,workers,2,8,2275239,1238378,1028601,934048447,208,625864.0,0,1493314355,snort.log
8,8,autofp,1,4,568809,0,568808,629148324,206,451408.0,0,1493272092,snort.log
8,8,autofp,1,8,1137617,83731,1053885,1156666146,469,456536.0,0,1493272061,snort.log
8,8,autofp,1,16,2275233,1103788,1171444,1167545009,520,454716.0,0,1493272030,snort.log
8,8,autofp,2,4,1137616,180834,956782,1036220564,736,618816.0,0,1493308588,snort.log
8,8,autofp,2,8,2275232,1255306,1019926,992463120,788,624316.0,0,1493308556,snort.log
8,8,workers,1,4,568809,0,568808,629148324,86,448600.0,0,1493307176,snort.log
8,8,workers,1,8,1137623,358977,775712,794228656,179,447924.0,0,1493307145,snort.log
8,8,workers,1,16,2275252,1319229,954621,836715789,190,446792.0,0,1493307113,snort.log
8,8,workers,2,4,1137616,313532,813154,841951831,178,615892.0,0,1493314452,snort.log
8,8,workers,2,8,2275233,1268565,997351,903916846,204,614380.0,0,1493314419,snort.log
8,16,autofp,1,4,568809,0,568808,629148324,211,469516.0,0,1493272186,snort.log
8,16,autofp,1,8,1137616,70473,1067143,1173327829,436,467328.0,0,1493272155,snort.log
8,16,autofp,1,16,2275251,1085246,1190004,1194972293,486,468028.0,0,1493272123,snort.log
8,16,autofp,2,4,1137616,136406,1001210,1093794392,649,625856.0,0,1493308652,snort.log
8,16,autofp,2,8,2275248,1201684,1073564,1052431025,696,631696.0,0,1493308620,snort.log
8,16,workers,1,4,568810,0,568808,629148324,88,454364.0,0,1493307270,snort.log
8,16,workers,1,8,1137617,351693,783958,803119544,176,458012.0,0,1493307239,snort.log
8,16,workers,1,16,2275233,1304406,967479,849199432,189,447472.0,0,1493307207,snort.log
8,16,workers,2,4,1137622,329980,797044,822737931,179,614568.0,0,1493314516,snort.log
8,16,workers,2,8,2275232,1216669,1051316,961372732,200,613768.0,0,1493314483,snort.log
16,16,autofp,1,4,568809,0,568808,629148324,228,613468.0,0,1493272281,snort.log
16,16,autofp,1,8,1137617,175256,962360,1049214829,734,612616.0,0,1493272249,snort.log
16,16,autofp,1,16,2275233,1209004,1066228,1062321232,725,617252.0,0,1493272217,snort.log
16,16,workers,1,4,568809,0,568808,629148324,91,595568.0,0,1493307365,snort.log
16,16,workers,1,8,1137620,340836,794191,818559072,172,607156.0,0,1493307333,snort.log
16,16,workers,1,16,2275233,1265290,1008102,912752807,198,605256.0,0,1493307301,snort.log
16,32,autofp,1,4,568809,0,568808,629148324,215,638608.0,0,1493272375,snort.log
16,32,autofp,1,8,1137617,158567,979049,1068363097,723,636760.0,0,1493272344,snort.log
16,32,autofp,1,16,2275234,1199487,1075745,1070276833,636,639188.0,0,1493272312,snort.log
16,32,workers,1,4,568820,0,568819,629149326,88,599832.0,0,1493307460,snort.log
16,32,workers,1,8,1137623,328407,806804,832385390,176,602124.0,0,1493307428,snort.log
16,32,workers,1,16,2275239,1269534,1004904,908326835,195,597252.0,0,1493307396,snort.log
